,index,Population,CO2 Emissions | Electric Heat,CO2 Emissions | Gas Fuel,CO2 Emissions | Liquid Fuel,CO2 Emissions | Manufacture and Construct,CO2 Emissions | Other,CO2 Emissions | Residential Commercial Public Service,CO2 Emissions | Intensity,GDP Per Capita,Energy Use,CO2 Emissions | Total,Electric Power Consumption,Energy Use Per Capita,Road Sector Gasoline Consumption,CODE
38,Eritrea,5228000.0,0.28,0.0,546.383,0.02,-0.01,0.06,0.28,590.22601873196,163.87394315143,0.13275869389835,62.214632881654,163.87394315143,1.5169769952124,ERI
39,Estonia,1315480.0,15.48,997.424,817.741,0.93,0.27,0.4,15.48,19704.655040239,4173.326582571,14.848819173174,6732.3674731561,4173.326582571,196.61920434762,EST
40,Ethiopia,104957438.0,0.04,0.0,8056.399,1.52,0.51,0.92,0.04,767.56347781581,496.81460125196,0.11912401452265,69.715773884015,496.81460125196,1.8234077067031,ETH
41,Finland,5511303.0,28.84,5757.19,23769.494,9.82,2.4,2.29,28.84,45703.327865074,5924.700124883,8.6607212434945,15249.98938023,5924.700124883,259.45238102308,FIN
42,France,67118648.0,60.44,74652.786,185605.205,60.37,16.05,69.33,60.44,38476.658636158,3689.5177666796,4.5731821471024,6939.5223108141,3689.5177666796,105.97826369743,FRA
43,Gabon,2025137.0,0.7,634.391,2746.583,0.77,0.03,0.22,0.7,7220.6872353249,2705.8233322475,2.7682657208219,1172.8873233805,2705.8233322475,35.758333887483,GAB
44,Georgia,3717100.0,1.2,4198.715,2838.258,1.38,0.37,1.02,1.2,4078.2548791791,1177.8704051516,2.4115419908774,2688.4894016635,1177.8704051516,88.995951687912,GEO
45,Germany,82695000.0,350.51,145147.194,250320.421,114.15,0.020000000000003,134.16,350.51,44469.909060724,3817.5494145546,8.8893703948384,7035.4829747168,3817.5494145546,221.99898033774,DEU
46,Ghana,28833629.0,2.73,1279.783,11690.396,1.57,0.3,0.77,2.73,1641.4866246137,335.05052913553,0.53653337778015,354.71405296299,335.05052913553,29.894395429365,GHA
47,Greece,10760421.0,45.55,5691.184,32658.302,7.24,1.56,9.81,45.55,18613.423873382,2182.0710934588,6.1803372677845,5062.6064215523,2182.0710934588,299.19412673299,GRC
48,Guatemala,16913503.0,2.34,0.0,14668.0,1.87,1.7347234759768e-17,0.71,2.34,4470.9895719119,830.09451593077,1.1509779943039,577.88588593794,830.09451593077,62.217056884341,GTM
49,Haiti,10981229.0,0.27,0.0,2709.913,0.56,0.0,0.2,0.27,765.68392462964,392.80116862045,0.27053858579446,38.969148730296,392.80116862045,12.957416745607,HTI
50,Honduras,9265067.0,2.65,0.0,8093.069,1.21,0.47,0.24,2.65,2480.1259285855,607.86464993026,1.0752217904522,630.13553078957,607.86464993026,64.423469740065,HND
51,"Hong Kong SAR, China",7391700.0,29.97,4649.756,9750.553,7.17,0.0,2.44,29.97,46193.614520428,1970.484127533,6.3936005256242,6083.2699356802,1970.484127533,54.584535324396,HKG
52,Hungary,9781127.0,16.97,15991.787,16248.477,6.04,1.11,12.01,16.97,14224.846457703,2432.7517914203,4.2655749757664,3965.9582334833,2432.7517914203,118.23428379056,HUN
53,Iceland,341284.0,0.0,0.0,1653.817,0.46,0.57,0.01,0.0,70056.873391621,17478.893036894,6.059657407464,53832.479091959,17478.893036894,448.25618938354,ISL
54,India,1339180127.0,963.48,92694.426,514109.733,471.62,41.79,98.29,963.48,1939.6129844881,637.42862985533,1.7300004315616,805.59919060256,637.42862985533,12.276888525031,IND
55,Indonesia,263991379.0,165.13,62467.345,233503.559,118.12,8.41,19.47,165.13,3846.86432331,883.91097697389,1.8193633190551,811.90018390387,883.91097697389,85.651598101028,IDN
56,"Iran, Islamic Rep.",81162788.0,165.21,334162.709,244449.554,104.26,11.69,122.64,165.21,5415.209635487,3023.4904393373,8.2830207874162,2985.6872800598,3023.4904393373,212.88899192084,IRN
57,Iraq,38274618.0,53.32,12643.816,124538.654,9.51,0.0,11.21,53.32,5165.7141565883,1413.4962555076,4.8118396861345,1305.6874691482,1413.4962555076,189.48350788192,IRQ
58,Ireland,4813608.0,12.0,8525.775,16794.86,3.69,0.63,8.07,12.0,69330.690154491,2819.8758516932,7.3139398077179,5672.064134108,2819.8758516932,278.14229786178,IRL
59,Israel,8712400.0,45.34,14411.31,22049.671,1.51,6.59,2.74,45.34,40270.251346045,2777.8753236835,7.8631813479071,6600.8982801222,2777.8753236835,340.8534857967,ISR
60,Italy,60551416.0,151.92,116133.89,143984.755,54.82,8.05,69.96,151.92,31952.975920684,2481.7546454602,5.270866786403,5002.4066798774,2481.7546454602,158.01763333978,ITA
61,Jamaica,2890299.0,3.29,0.0,6728.945,0.27,1.44,0.5,3.29,5109.5526491955,981.31223823734,2.5932153704622,1055.5234694124,981.31223823734,173.34373395737,JAM
